MMS ID,Normalized Call Number,Library Name,Location Name,Permanent Call Number,Title,Description,Base status,Barcode,Scanned Barcode,Notes/Comments
996167030101921,"0ds""135 r92 s5",,Stacks,DS135.R92 S5,Shevut.,no.6-8,,0888800045773,39097014617717,
996167030101921,"0ds""135 r92 s5",,Stacks,DS135.R92 S5,Shevut.,no.9-10,,0888800045781,39097014617659,
996167090101921,0ap!91 a8,,Stacks,AP91 .A8,Ê»Atidot.,,,0888800045880,39097014618335,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.1,,0888800045930,39097014618350,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.2,,0888800045948,39097014618368,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.3,,0888800045955,39097014618483,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.4,,0888800045963,39097014618475,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.5,,0888800045971,39097014618467,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.6,,0888800045989,39097014618459,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.7,,0888800045997,39097014618442,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.8,,0888800046003,39097014618434,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.9,,0888800046011,39097014618426,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.10,,0888800046029,39097014618418,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.11,,0888800046037,39097014618400,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.12,,0888800046045,39097014618392,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.13,,0888800046052,39097014618384,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.14,,0888800046060,39097014618376,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.15,,0888800046078,39097014618608,
996167140101921,0ap!91 m26,,Stacks,AP91 .M26,MabuÊ»a.,v.16,,0888800046086,39097014618590,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.12-23(1942),,0888800046375,39097014618582,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.24-35(1943),,0888800046383,39097014618574,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.36-47(1944),,0888800046391,39097014618566,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.48-59(1945),,0888800046409,39097014618558,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.60-71(1946),,0888800046417,39097014618541,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.72-78(1947),,0888800046425,39097014618533,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.79-89(1948),,0888800046433,39097014618525,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.90-100(1949),,0888800046441,39097014618517,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.101-112(1950),,0888800046458,39097014618509,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.113-124(1951),,0888800046466,39097014618491,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.125-135(1952),,0888800046474,39097014619093,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.137-148(1953),,0888800046482,39097014619101,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.149-160(1954),,0888800046490,39097014619119,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.161-172(1955),,0888800046508,39097014619127,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.173-182(1956),,0888800046516,39097014619135,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.183-194(1957),,0888800046524,39097014619143,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.195-206(1958),,0888800046532,39097014619150,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.207-218(1959),,0888800046540,39097014619168,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.219-230(1960),,0888800046557,39097014619176,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.231-241(1961),,0888800046565,39097014619184,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.325-336(1969),,0888800046573,39097014619192,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.337-348(1970),,0888800046581,39097014619200,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.349-360(1971),,0888800046599,39097014619085,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.361-372(1972),,0888800046607,39097014619077,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.373-383(1973),,0888800046615,39097014619069,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.384-395(1974),,0888800046623,39097014619051,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.396-407(1975),,0888800046631,39097014619044,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.408-419(1976),,0888800046649,39097014619036,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.420-430(1977),,0888800046656,39097014619028,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.431-442(1978),,0888800046664,39097014619010,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.443-454(1979),,0888800046672,39097014619002,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.455-467(1980),,0888800046680,39097014618996,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.468-479(1981),,0888800046698,39097014618988,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.480-491(1982),,0888800046706,39097014618970,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.492-503(1983),,0888800046714,39097014618962,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.504-515(1984),,0888800046722,39097014618954,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.516-527(1985),,0888800046730,39097014618947,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.528-539(1986),,0888800046748,39097014618939,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.540-551(1987),,0888800046755,39097014618921,
996167190101921,0ap!91 u58,,Stacks,AP91 .U58,Unzer tsayá¹­.,no.552-563(1988),,0888800046763,39097014618913,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.1(1973),,0888800046821,39097014616644,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.2(1974),,0888800046839,39097014616636,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.3(1975),,0888800046847,39097014616628,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.4(1976),,0888800046854,39097014616610,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.5(1977),,0888800046862,39097014616602,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.6(1978),,0888800046870,39097014616594,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.7(1979),,0888800046888,39097014616586,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.8(1980),,0888800046896,39097014616578,
996167230101921,"0d""810 j4 m385a 0",,Stacks,D810.J4 M385a,MaÅ›uÊ¾ah.,v.12(1984),,0888800046904,39097014616560,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 1-5 (1973/74),,0888800063339,39097014238043,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 6-9 (1975),,0888800063347,39097014238050,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 10-13 (1976),,0888800063354,39097014238068,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 14-15 (1977),,0888800063362,39097014238076,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 18-20 (1978),,0888800063370,39097014238084,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 21-24 (1979),,0888800063388,39097014238209,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 25-28 (1980),,0888800063396,39097014238183,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 29-32 (1981),,0888800063404,39097014238191,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 33-35 (1982),,0888800063412,39097014238175,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 36-38 (1983),,0888800063420,39097014238167,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 39-42 (1984-85),,0888800063438,39097014238159,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 43-47 (1986-87),,0888800063446,39097014238142,
996227440101921,0l!60 i88,,Stacks,L60 .I88,Ê»Iyunim be-á¸¥inukh.,no. 48-50 (June 1988-1989),,0888800063453,39097014238134,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.1,,0888800065821,39097014238589,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.2,,0888800065839,39097014238571,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",Suppl.: v.2,,0888800065847,39097014238563,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.3,,0888800065854,39097014238555,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.4,,0888800065862,39097014238548,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.5,,0888800065870,39097014238530,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.6,,0888800065888,39097014238522,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.7,,0888800065896,39097014238514,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.8,,0888800065904,39097014238506,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.9,,0888800065912,39097014238498,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.10,,0888800065920,39097014238480,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.11,,0888800065938,39097014238472,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.12,,0888800065946,39097014238464,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.13,,0888800065953,39097014238456,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.14,,0888800065961,39097014238449,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.15,,0888800065979,39097014238431,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",Index: v.1-15,,0888800065987,39097014238423,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.16,,0888800065995,39097014238415,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.17,,0888800066001,39097014238407,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.18,,0888800066019,39097014238399,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.19-20(1980-1982),,0888800066027,39097014238381,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.21-22(1984-1986),,0888800066035,39097014238373,
996227970101921,"0z""671 y3",,Stacks,Z671 .Y3,"Yad la-á¸³ore : yotse le-or Ê»al yede Histadrut ha-peá¸³idim, Irgun safrane YiÅ›raÊ¾el.",v.23-24(1987-1990),,0888800066043,39097014238365,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,1-48,,0888800067082,39097014237912,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,49-95,,0888800067090,39097014237920,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,Index: no.96-145,,0888800067108,39097014237938,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,146-195,,0888800067116,39097014237946,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,196-248,,0888800067124,39097014237953,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,249-289,,0888800067132,39097014237961,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,290-313,,0888800067140,39097014237979,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,314-343,,0888800067157,39097014237987,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,344-383,,0888800067165,39097014237995,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,384-435,,0888800067173,39097014238001,
996228020101921,0kmk#2300 a32 i852,,Stacks,KMK2300 .A32 I852,Kovets ha-takanot : á¸¥iá¸³uá¸³e shilton meá¸³omi.,436-465,,0888800067181,39097014238019,
996228030101921,0kmk!13 i85,,Stacks,KMK13 .I85,á¸²ovets ha-taá¸³anot.,no.299-347,,0888800067199,39097014237235,
996228030101921,0kmk!13 i85,,Stacks,KMK13 .I85,á¸²ovets ha-taá¸³anot.,no.348-389,,0888800067207,39097014237227,
996228030101921,0kmk!13 i85,,Stacks,KMK13 .I85,á¸²ovets ha-taá¸³anot.,no.390-474,,0888800067215,39097014237219,
996228030101921,0kmk!13 i85,,Stacks,KMK13 .I85,á¸²ovets ha-taá¸³anot.,no.475-507,,0888800067223,39097014237201,
996228030101921,0kmk!13 i85,,Stacks,KMK13 .I85,á¸²ovets ha-taá¸³anot.,no.508-550,,0888800067231,39097014237193,
